year,sex,level_of_school,length_of_service,no_of_teachers
1993,MF,PRE-UNIVERSITY,10 - 14 YEARS,336
1993,F,PRE-UNIVERSITY,10 - 14 YEARS,237
1993,MF,PRIMARY,15 - 19 YEARS,262
1993,F,PRIMARY,15 - 19 YEARS,204
1993,MF,SECONDARY,15 - 19 YEARS,528
1993,F,SECONDARY,15 - 19 YEARS,384
1993,MF,PRE-UNIVERSITY,15 - 19 YEARS,155
1993,F,PRE-UNIVERSITY,15 - 19 YEARS,120
1993,MF,PRIMARY,20 - 24 YEARS,866
1993,F,PRIMARY,20 - 24 YEARS,769
1993,MF,SECONDARY,20 - 24 YEARS,728
1993,F,SECONDARY,20 - 24 YEARS,456
1993,MF,PRE-UNIVERSITY,20 - 24 YEARS,108
1993,F,PRE-UNIVERSITY,20 - 24 YEARS,63
1993,MF,PRIMARY,25 - 29 YEARS,2564
1993,F,PRIMARY,25 - 29 YEARS,1874
1993,MF,SECONDARY,25 - 29 YEARS,1635
1993,F,SECONDARY,25 - 29 YEARS,764
1993,MF,PRE-UNIVERSITY,25 - 29 YEARS,122
1993,F,PRE-UNIVERSITY,25 - 29 YEARS,45
1993,MF,PRIMARY,30 YEARS & ABOVE,3282
1993,F,PRIMARY,30 YEARS & ABOVE,1908
1993,MF,SECONDARY,30 YEARS & ABOVE,1066
1993,F,SECONDARY,30 YEARS & ABOVE,361
1993,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,58
1993,F,PRE-UNIVERSITY,30 YEARS & ABOVE,15
1994,MF,PRIMARY,0 - 4 YEARS,2212
1994,F,PRIMARY,0 - 4 YEARS,1961
1994,MF,SECONDARY,0 - 4 YEARS,1654
1994,F,SECONDARY,0 - 4 YEARS,1139
1994,MF,PRE-UNIVERSITY,0 - 4 YEARS,460
1994,F,PRE-UNIVERSITY,0 - 4 YEARS,277
1994,MF,PRIMARY,5 - 9 YEARS,692
1994,F,PRIMARY,5 - 9 YEARS,631
1994,MF,SECONDARY,5 - 9 YEARS,887
1994,F,SECONDARY,5 - 9 YEARS,713
1994,MF,PRE-UNIVERSITY,5 - 9 YEARS,355
1994,F,PRE-UNIVERSITY,5 - 9 YEARS,232
1994,MF,PRIMARY,10 - 14 YEARS,407
1994,F,PRIMARY,10 - 14 YEARS,344
1994,MF,SECONDARY,10 - 14 YEARS,885
1994,F,SECONDARY,10 - 14 YEARS,677
